Id,Service Date,Start Time,End Time,Amount,Service Code,Status
168703728,2025-07-28,2025-07-28 15:38:00,2025-07-28 18:08:00,0 days 02:30:00,310,Pending
168613159,2025-07-28,2025-07-28 09:45:00,2025-07-28 12:45:00,0 days 03:00:00,310,Pending
168225586,2025-07-24,2025-07-24 10:20:00,2025-07-24 13:20:00,0 days 03:00:00,310,Pending
168189281,2025-07-23,2025-07-23 15:57:00,2025-07-23 18:00:00,0 days 02:03:00,331,Pending
168188198,2025-07-23,2025-07-23 15:20:00,2025-07-23 15:33:00,0 days 00:13:00,331,Pending
168022603,2025-07-23,2025-07-23 10:30:00,2025-07-23 14:00:00,0 days 03:30:00,310,Pending
167820270,2025-07-21,2025-07-21 15:29:00,2025-07-21 22:16:00,0 days 06:47:00,331,Pending
167673392,2025-07-21,2025-07-21 12:00:00,2025-07-21 13:45:00,0 days 01:45:00,331,Pending
167575761,2025-07-20,2025-07-20 20:30:00,2025-07-20 22:30:00,0 days 02:00:00,310,Pending
167565348,2025-07-20,2025-07-20 15:00:00,2025-07-20 18:30:00,0 days 03:30:00,331,Pending
167527281,2025-07-19,2025-07-19 09:05:00,2025-07-19 11:05:00,0 days 02:00:00,310,Pending
167487542,2025-07-18,2025-07-18 10:55:00,2025-07-18 13:04:00,0 days 02:09:00,331,Pending
167328918,2025-07-17,2025-07-17 08:50:00,2025-07-17 13:29:00,0 days 04:39:00,331,Pending
167325904,2025-07-17,2025-07-17 07:49:00,2025-07-17 08:49:00,0 days 01:00:00,331,Pending
167284893,2025-07-16,2025-07-16 15:30:00,2025-07-16 18:00:00,0 days 02:30:00,331,Pending
167274876,2025-07-16,2025-07-16 12:17:00,2025-07-16 14:47:00,0 days 02:30:00,310,Pending
167198695,2025-07-03,2025-07-03 17:10:00,2025-07-03 21:10:00,0 days 04:00:00,331,Paid
167124168,2025-07-15,2025-07-15 13:28:00,2025-07-15 15:01:00,0 days 01:33:00,320,Paid
167046943,2025-07-15,2025-07-15 08:00:00,2025-07-15 12:00:00,0 days 04:00:00,310,Paid
167030930,2025-07-14,2025-07-14 08:30:00,2025-07-14 12:30:00,0 days 04:00:00,310,Paid
167030913,2025-07-08,2025-07-08 12:00:00,2025-07-08 14:30:00,0 days 02:30:00,310,Paid
167027907,2025-07-09,2025-07-09 15:10:00,2025-07-09 18:10:00,0 days 03:00:00,331,Paid
166992452,2025-07-14,2025-07-14 14:12:00,2025-07-14 17:12:00,0 days 03:00:00,310,Paid
166929113,2025-07-13,2025-07-13 14:31:00,2025-07-13 18:31:00,0 days 04:00:00,331,Paid
166894026,2025-07-12,2025-07-12 13:21:00,2025-07-12 17:21:00,0 days 04:00:00,310,Paid
166586603,2025-07-09,2025-07-09 13:28:00,2025-07-09 13:58:00,0 days 00:30:00,310,Paid
166339100,2025-07-07,2025-07-07 15:06:00,2025-07-07 18:18:00,0 days 03:12:00,331,Paid
166219791,2025-07-07,2025-07-07 09:45:00,2025-07-07 12:00:00,0 days 02:15:00,331,Paid
166115035,2025-07-06,2025-07-06 14:40:00,2025-07-06 15:50:00,0 days 01:10:00,320,Paid
165650729,2025-07-02,2025-07-02 15:10:00,2025-07-02 18:10:00,0 days 03:00:00,331,Paid
